pays,code_pays,annee,produit,code_produit,nature,dispo_int,production,importation,exportation,variation_stock
Arménie,1,2013,"Mollusques, Autres",2767,animal,0.0,,0.0,,
Arménie,1,2013,Animaux Aquatiques Autre,2769,animal,0.0,,0.0,,
Arménie,1,2013,Plantes Aquatiques,2775,animal,0.0,0.0,0.0,0.0,
Arménie,1,2013,Huiles de Poissons,2781,animal,0.0,,0.0,,
Arménie,1,2013,Huiles de Foie de Poisso,2782,animal,0.0,,0.0,,
Arménie,1,2013,Riz (Eq Blanchi),2805,végétal,10.0,,10.0,0.0,0.0
Arménie,1,2013,Lait - Excl Beurre,2848,animal,671.0,657.0,30.0,16.0,0.0
Afghanistan,2,2012,Blé,2511,végétal,5884.0,5050.0,1334.0,,-500.0
Afghanistan,2,2012,Orge,2513,végétal,519.0,504.0,15.0,,0.0
Afghanistan,2,2012,Maïs,2514,végétal,314.0,310.0,4.0,0.0,
Afghanistan,2,2012,Millet,2517,végétal,15.0,15.0,,,
Afghanistan,2,2012,"Céréales, Autres",2520,végétal,0.0,,0.0,,
Afghanistan,2,2012,Pommes de Terre,2531,végétal,226.0,230.0,0.0,4.0,
Afghanistan,2,2012,"Sucre, canne",2536,végétal,78.0,78.0,,,
Afghanistan,2,2012,"Sucre, betterave",2537,végétal,14.0,14.0,,,
Afghanistan,2,2012,Sucre Eq Brut,2542,végétal,250.0,2.0,279.0,,-31.0
Afghanistan,2,2012,Edulcorants Autres,2543,végétal,24.0,,24.0,,
Afghanistan,2,2012,Légumineuses Autres,2549,végétal,73.0,69.0,4.0,0.0,
Afghanistan,2,2012,Noix,2551,végétal,70.0,79.0,,9.0,
Afghanistan,2,2012,Graines de tournesol,2557,végétal,2.0,2.0,,,
Afghanistan,2,2012,Graines de coton,2559,végétal,24.0,24.0,,0.0,
Afghanistan,2,2012,Coco (Incl Coprah),2560,végétal,0.0,,0.0,,
Afghanistan,2,2012,Sésame,2561,végétal,20.0,32.0,,12.0,0.0
Afghanistan,2,2012,Olives,2563,végétal,7.0,7.0,,0.0,
Afghanistan,2,2012,"Plantes Oleiferes, Autre",2570,végétal,3.0,3.0,,0.0,
Afghanistan,2,2012,Huile de Soja,2571,végétal,16.0,,16.0,,
Afghanistan,2,2012,Huile d'Arachide,2572,végétal,0.0,,0.0,,
Afghanistan,2,2012,Huile de Tournesol,2573,végétal,17.0,1.0,16.0,,
Afghanistan,2,2012,Huile de Colza&Moutarde,2574,végétal,2.0,,2.0,,
Afghanistan,2,2012,Huile Graines de Coton,2575,végétal,4.0,4.0,,,
Afghanistan,2,2012,Huile de Palme,2577,végétal,111.0,,111.0,,
Afghanistan,2,2012,Huile de Sésame,2579,végétal,1.0,1.0,,,
Afghanistan,2,2012,Huile d'Olive,2580,végétal,1.0,1.0,0.0,,
Afghanistan,2,2012,Huil Plantes Oleif Autr,2586,végétal,373.0,1.0,372.0,,
Afghanistan,2,2012,Tomates,2601,végétal,0.0,,0.0,0.0,
Afghanistan,2,2012,"Légumes, Autres",2605,végétal,1036.0,962.0,99.0,25.0,
Afghanistan,2,2012,"Oranges, Mandarines",2611,végétal,176.0,6.0,170.0,0.0,
Afghanistan,2,2012,"Agrumes, Autres",2614,végétal,19.0,2.0,18.0,1.0,
Afghanistan,2,2012,Bananes,2615,végétal,48.0,,48.0,,
Afghanistan,2,2012,Pommes,2617,végétal,47.0,70.0,1.0,24.0,
